GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
53,1174.12,2849.19,4642.33,-2854.84,-31.02,1248.42,91.7,-2630.44,174.26,7119.88,-2456.18,4663.71
54,1186.12,2750.24,4611.28,-2797.64,-59.74,1271.74,95.78,-2607.07,175.98,7057.78,-2431.09,4626.69
55,1168.03,2794.54,4660.76,-2832.97,-72.95,1279.0,89.71,-2595.88,174.46,7086.13,-2421.42,4664.71
56,1166.46,2794.36,4661.37,-2815.68,-57.76,1290.79,92.99,-2613.35,172.06,7132.52,-2441.29,4691.23
57,1149.15,2848.14,4594.89,-2809.02,-28.95,1282.37,88.76,-2630.19,174.15,7125.33,-2456.04,4669.29
58,1185.08,2859.97,4650.69,-2816.43,-38.55,1269.25,80.65,-2622.05,172.6,7190.66,-2449.45,4741.21
59,1151.18,2726.17,4585.91,-2794.82,-26.99,1312.83,93.87,-2634.36,174.02,7048.15,-2460.34,4587.81
60,1150.47,2840.76,4620.39,-2821.81,-27.34,1274.2,89.88,-2633.88,172.95,7126.54,-2460.94,4665.61
61,1183.74,2817.71,4671.8,-2811.55,-35.09,1294.58,91.35,-2628.77,170.68,7212.55,-2458.09,4754.46
62,1164.14,2822.53,4608.86,-2867.78,-31.01,1262.72,87.88,-2624.96,172.27,7047.35,-2452.69,4594.66
63,1160.23,2839.64,4672.64,-2842.39,-15.45,1294.23,91.16,-2643.05,174.38,7200.07,-2468.67,4731.4
64,1140.53,2741.84,4657.0,-2818.23,-23.83,1274.39,82.15,-2630.73,175.99,7053.85,-2454.74,4599.1
65,1211.1,2795.46,4624.41,-2806.78,-26.84,1312.81,82.78,-2629.07,174.03,7192.93,-2455.04,4737.89
66,1158.93,2841.55,4639.18,-2784.03,-25.21,1294.63,83.45,-2628.87,175.91,7208.48,-2452.96,4755.52
67,1120.19,2831.77,4578.59,-2800.55,-6.32,1289.12,84.88,-2646.83,178.1,7097.67,-2468.73,4628.94
68,1192.55,2750.17,4609.6,-2814.49,-23.54,1323.35,83.63,-2629.85,175.17,7121.27,-2454.68,4666.59
69,1109.66,2759.06,4643.7,-2812.01,-30.19,1282.74,86.61,-2624.95,176.31,7039.59,-2448.64,4590.95
70,1213.52,2753.39,4539.01,-2819.45,-33.82,1313.28,89.81,-2623.61,175.05,7055.74,-2448.56,4607.18
71,1161.1,2842.1,4584.98,-2806.97,-38.61,1288.61,80.71,-2610.63,174.77,7111.93,-2435.86,4676.07
72,1138.68,2767.71,4657.8,-2802.62,-25.64,1307.01,89.68,-2629.48,174.91,7132.62,-2454.57,4678.05
73,1143.87,2767.75,4635.58,-2860.25,-15.89,1274.54,83.65,-2633.98,172.64,7029.25,-2461.34,4567.92
74,1195.9,2812.71,4624.46,-2827.94,-12.76,1271.91,76.76,-2632.15,173.01,7141.06,-2459.14,4681.92
75,1134.19,2867.81,4597.25,-2787.04,-11.43,1290.79,84.88,-2642.81,174.97,7176.46,-2467.84,4708.62
76,1177.8,2816.47,4621.19,-2812.37,-26.19,1287.08,80.12,-2623.23,173.5,7144.1,-2449.73,4694.38
77,1155.37,2793.5,4623.08,-2822.33,-14.31,1306.46,81.38,-2632.88,173.89,7123.16,-2458.99,4664.17
78,1231.09,2844.86,4629.58,-2841.43,-35.64,1271.15,86.37,-2622.09,173.92,7185.99,-2448.17,4737.82
79,1171.14,2799.9,4585.36,-2768.29,-22.64,1259.94,84.87,-2636.07,175.58,7110.28,-2460.49,4649.79
80,1140.02,2846.18,4593.92,-2775.2,-25.66,1287.86,84.34,-2631.89,177.15,7151.47,-2454.74,4696.73
81,1125.29,2812.86,4622.75,-2802.16,-19.01,1288.1,86.77,-2640.22,174.92,7114.61,-2465.3,4649.3

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,613.65,1164.48,2189.89,-1315.1,2174.3,599.29,-333.57,-3244.3,92.35,5092.94,-3151.95,1940.99
2,580.58,1190.76,2162.61,-1290.69,2185.52,595.02,-325.87,-3259.33,91.7,5097.94,-3167.63,1930.31
3,541.04,1193.82,2157.35,-1289.97,2158.9,619.08,-323.52,-3237.34,91.79,5056.69,-3145.55,1911.15
4,575.15,1230.89,2129.08,-1305.7,2163.57,596.24,-332.32,-3235.48,91.83,5056.9,-3143.66,1913.25
5,576.59,1190.26,2143.26,-1321.6,2155.91,612.53,-326.4,-3228.51,91.59,5030.56,-3136.92,1893.64
6,596.61,1213.44,2131.05,-1307.04,2165.93,621.84,-328.37,-3241.51,92.13,5093.46,-3149.39,1944.08
