model_type,scr_frac,is_test,pcc_mean,pcc_std,mse_mean,mse_std,r2_mean,r2_std,ACC_mean,ACC_std,rep_mean,rep_std,fold_mean,fold_std,f1_mean,f1_std,mcc_mean,mcc_std
bin,0.0,False,,,,,,,0.8171428571428571,0.0500657418634295,2.0,1.4433756729740643,2.0,1.4433756729740645,0.796022666391205,0.05725745650792392,0.6431445334634897,0.10079162632639425
bin,0.0,True,,,,,,,0.7341666666666666,,,,,,0.7624720774385704,,0.4640560694196409,
bin,0.05,False,,,,,,,0.8171428571428571,0.0500657418634295,2.0,1.4433756729740643,2.0,1.4433756729740645,0.796022666391205,0.05725745650792392,0.6431445334634897,0.10079162632639425
bin,0.05,True,,,,,,,0.7341666666666666,,,,,,0.7624720774385704,,0.4640560694196409,
bin,0.1,False,,,,,,,0.7721428571428571,0.06955731819246032,2.0,1.4433756729740643,2.0,1.4433756729740645,0.7456860001147124,0.07544364879646853,0.5586087076887672,0.12449329045097358
bin,0.1,True,,,,,,,0.7808333333333334,,,,,,0.8041697691734923,,0.5589573715042419,
bin,0.15,False,,,,,,,0.7416502463054188,0.0665483159293282,2.0,1.4433756729740643,2.0,1.4433756729740645,0.7344777744587988,0.07644547974579186,0.4934585070949127,0.13280929840249553
bin,0.15,True,,,,,,,0.7191666666666666,,,,,,0.7601423487544484,,0.42147475483131597,
bin,0.2,False,,,,,,,0.7415517241379311,0.06925184849973758,2.0,1.4433756729740643,2.0,1.4433756729740645,0.6995670733945165,0.07545627526343347,0.48393742110721066,0.13082648788583315
bin,0.2,True,,,,,,,0.75,,,,,,0.7727272727272727,,0.5017370113946248,
bin,0.25,False,,,,,,,0.7598522167487683,0.0499341462718596,2.0,1.4433756729740643,2.0,1.4433756729740645,0.7199282382241557,0.07911836302796106,0.5159163138238885,0.11038294997234953
bin,0.25,True,,,,,,,0.7441666666666666,,,,,,0.7693463561232158,,0.48717781422330086,
bin,0.5,False,,,,,,,0.5730541871921182,0.0731688186831379,2.0,1.4433756729740643,2.0,1.4433756729740645,0.48017450688387286,0.1145104523769172,0.13649763828101433,0.1489121832842745
bin,0.5,True,,,,,,,0.655,,,,,,0.6612111292962356,,0.33925027328752133,
bin,0.75,False,,,,,,,0.5646305418719212,0.042444336064508106,2.0,1.4433756729740643,2.0,1.4433756729740645,0.5506403579830073,0.07350052795840073,0.13551593072693024,0.08613191645086057
bin,0.75,True,,,,,,,0.49083333333333334,,,,,,0.548410938654841,,-0.03365601444554647,
bin,1.0,False,,,,,,,0.4745073891625616,0.08043221049988054,2.0,1.4433756729740643,2.0,1.4433756729740645,0.4994132439384472,0.07855423966988441,-0.042288143813699774,0.16305039216385703
bin,1.0,True,,,,,,,0.4166666666666667,,,,,,0.35185185185185186,,-0.1150670157711014,
mclass,0.0,False,,,,,,,0.5962068965517241,0.06883304666827549,2.0,1.4433756729740643,2.0,1.4433756729740645,0.5184110650433087,0.06878012947436332,0.38242156568691177,0.10474765818831477
mclass,0.0,True,,,,,,,0.6975,,,,,,0.5762430466771084,,0.4466605580885684,
mclass,0.05,False,,,,,,,0.5610098522167487,0.07569800448964768,2.0,1.4433756729740643,2.0,1.4433756729740645,0.4770403366774525,0.053193394685706864,0.32820889889625154,0.09898368055208245
mclass,0.05,True,,,,,,,0.7491666666666666,,,,,,0.6495372016056605,,0.5235734333373564,
mclass,0.1,False,,,,,,,0.5631527093596059,0.07862006495105549,2.0,1.4433756729740643,2.0,1.4433756729740645,0.4849481796279596,0.08022382761253408,0.33895537948096593,0.10755885450873025
mclass,0.1,True,,,,,,,0.6841666666666667,,,,,,0.5326909436244927,,0.42635356856021334,
mclass,0.15,False,,,,,,,0.5626108374384237,0.08030359369347295,2.0,1.4433756729740643,2.0,1.4433756729740645,0.48622742882786474,0.08280155911126977,0.3147046129563368,0.10666140492759627
mclass,0.15,True,,,,,,,0.7383333333333333,,,,,,0.6131776490047076,,0.500424142353469,
mclass,0.2,False,,,,,,,0.49458128078817737,0.07927721511997998,2.0,1.4433756729740643,2.0,1.4433756729740645,0.4544900079684494,0.06146959778069908,0.24609767615440734,0.09863545760884344
mclass,0.2,True,,,,,,,0.6975,,,,,,0.6121420878676919,,0.4439027627700129,
mclass,0.25,False,,,,,,,0.5419211822660098,0.09903858779448353,2.0,1.4433756729740643,2.0,1.4433756729740645,0.432602868740581,0.11231546388299879,0.22751808886250496,0.13515475338711325
mclass,0.25,True,,,,,,,0.745,,,,,,0.6038699137770335,,0.4890706482767584,
mclass,0.5,False,,,,,,,0.45820853858784893,0.07450574699525195,2.0,1.4433756729740643,2.0,1.4433756729740645,0.3507644253660145,0.05800697865556216,0.12315494745449283,0.1159195573092493
mclass,0.5,True,,,,,,,0.6758333333333333,,,,,,0.5004433299735314,,0.3583646260502085,
mclass,0.75,False,,,,,,,0.40795566502463054,0.08389201521275771,2.0,1.4433756729740643,2.0,1.4433756729740645,0.2870372740164996,0.05975121219839867,0.012360913881812709,0.11720513492201354
mclass,0.75,True,,,,,,,0.6641666666666667,,,,,,0.4452985290672265,,0.35839605224171206,
mclass,1.0,False,,,,,,,0.48135467980295565,0.08275713166470672,2.0,1.4433756729740643,2.0,1.4433756729740645,0.3102204219168489,0.0783871239613854,0.05785261073216548,0.10674667444816634
mclass,1.0,True,,,,,,,0.605,,,,,,0.3912967171836335,,0.1408902792124683,
reg,0.0,False,0.6850852883772912,0.06850826365169058,0.5134913426583951,0.13591754486608354,0.4583502275995366,0.10434227834237136,0.8205698005698006,0.055980791543066295,2.0,1.4433756729740643,2.0,1.4433756729740645,,,,
reg,0.0,True,0.7260071770024803,,0.37315512401314205,,0.5240300289495388,,0.7694117647058824,,,,,,,,,
reg,0.05,False,0.643940919655865,0.0609340553601257,0.5798342595081787,0.12687090245086263,0.3974243898573174,0.07514830847503373,0.7958214624881292,0.05958171031436269,2.0,1.4433756729740643,2.0,1.4433756729740645,,,,
reg,0.05,True,0.7395187165707126,,0.3570641324848455,,0.5445545461785366,,0.7529411764705882,,,,,,,,,
reg,0.1,False,0.6196974232920198,0.08233106765631744,0.6195095376649851,0.1722836413384774,0.3479996133777391,0.12791448604141537,0.7807217473884139,0.07110256426534277,2.0,1.4433756729740643,2.0,1.4433756729740645,,,,
reg,0.1,True,0.7103960442401132,,0.3897887224960244,,0.5028134011213659,,0.7549019607843137,,,,,,,,,
reg,0.15,False,0.6157242218190845,0.09435255563047155,0.6455924458520707,0.1877070183020987,0.3684187979340997,0.1080506016810713,0.7912630579297246,0.07726671044167444,2.0,1.4433756729740643,2.0,1.4433756729740645,,,,
reg,0.15,True,0.7285176920271386,,0.3723004303716906,,0.5251202149917499,,0.7568627450980392,,,,,,,,,
reg,0.2,False,0.5542376169286245,0.1045705036635732,0.6786693244832979,0.23882224418821105,0.28153910159569484,0.12472270348332026,0.7584995251661918,0.051739820205878286,2.0,1.4433756729740643,2.0,1.4433756729740645,,,,
reg,0.2,True,0.7429724296353485,,0.36540209481037855,,0.5339192381489353,,0.7549019607843137,,,,,,,,,
reg,0.25,False,0.4208794421266829,0.11731418677539242,0.8820337269329146,0.11055925951156075,0.13053547617120229,0.10984488044539058,0.6992402659069326,0.042971366545554876,2.0,1.4433756729740643,2.0,1.4433756729740645,,,,
reg,0.25,True,0.671496185638659,,0.4525285741660032,,0.4227869363580995,,0.7294117647058823,,,,,,,,,
reg,0.5,False,0.4914926018458173,0.141704664999665,0.708784040256808,0.24437064491586413,0.2271697736760353,0.1452234101648017,0.6495726495726495,0.051561937731123546,2.0,1.4433756729740643,2.0,1.4433756729740645,,,,
reg,0.5,True,0.7012646954546482,,0.4321177520754556,,0.44882152030022404,,0.7588235294117647,,,,,,,,,
reg,0.75,False,-0.07159196209869688,0.11485802656172434,1.0053132555577677,0.2577977044192376,-0.18154154321950172,0.21706533701277073,0.4897435897435897,0.05369647505151474,2.0,1.4433756729740643,2.0,1.4433756729740645,,,,
reg,0.75,True,0.3394790512459118,,0.7065700501940403,,0.09874981021529261,,0.5764705882352941,,,,,,,,,
reg,1.0,False,-0.2904728532018759,0.11605214642501256,0.9486804793408169,0.18432150959451143,-0.18590146225924506,0.08181043765547442,0.543684710351377,0.10712651310706575,2.0,1.4433756729740643,2.0,1.4433756729740645,,,,
reg,1.0,True,0.09292906529740161,,0.8018779286051421,,-0.022818098702434897,,0.4176470588235294,,,,,,,,,
