model_type,scr_frac,is_test,pcc_mean,pcc_std,mse_mean,mse_std,r2_mean,r2_std,acc_mean,acc_std,scr_frac_mean,scr_frac_std,accuracy_mean,accuracy_std,f1_mean,f1_std,mcc_mean,mcc_std
reg,0.0,False,0.6207436996952156,0.08613807645246833,0.6083888466834254,0.11181045969589179,0.3391549852486142,0.1804276678611984,0.7753812636165577,0.0484297058923333,0.0,0.0,,,,,,
reg,0.0,True,0.7003461148771036,,0.4142180314633711,,0.47165312290537853,,0.7372549019607844,,0.0,,,,,,,
reg,0.05,False,0.5585742951299808,0.06677459377933327,0.7015056796636527,0.10408673385791155,0.2535678895834333,0.15175142401713418,0.7463884699178817,0.05599051212642332,0.05,0.0,,,,,,
reg,0.05,True,0.7123108023475427,,0.3907502629001116,,0.5015869289953094,,0.7525951557093425,,0.05,,,,,,,
reg,0.1,False,0.5518548463256113,0.07170886764538617,0.7278579656509869,0.1635561415127785,0.22157415255989923,0.1708142426823494,0.735768951455226,0.04934972080190301,0.1,0.0,,,,,,
reg,0.1,True,0.617143492273657,,0.5025571571079547,,0.3589740562923345,,0.6937716262975778,,0.1,,,,,,,
reg,0.15,False,0.5610143282504759,0.09520369472418377,0.7271656146598717,0.21162560558660967,0.2863347370305428,0.13314521166730375,0.7469526842075862,0.0534447404640233,0.15,0.0,,,,,,
reg,0.15,True,0.6625193371221614,,0.44941126469143333,,0.42676315323115,,0.7249134948096886,,0.15,,,,,,,
reg,0.25,False,0.38998667097763323,0.1193587919358764,0.92858889029946,0.07088881281011623,0.07482997172680658,0.1559574004576515,0.67778895033797,0.0265655763862261,0.25,0.0,,,,,,
reg,0.25,True,0.4740932688290813,,0.6700105502213841,,0.1453824919709681,,0.673125720876586,,0.25,,,,,,,
reg,0.5,False,0.3530890842852335,0.09395346473310401,0.8674795896321357,0.24026195372175418,0.03854038125985748,0.10910092200857155,0.6302385341601028,0.04835035684508852,0.5,0.0,,,,,,
reg,0.5,True,0.6058040825667182,,0.5138983893897908,,0.34450799203785587,,0.7064590542099193,,0.5,,,,,,,
reg,0.75,False,-0.17023677461392558,0.046830502608656246,1.1618087744785048,0.2594684167098961,-0.36929057417203254,0.22232120883495105,0.4165521479246969,0.007629491567773645,0.75,0.0,,,,,,
reg,0.75,True,0.10571594449180492,,0.8524746216618678,,-0.08735561937335756,,0.5656286043829296,,0.75,,,,,,,
reg,1.0,False,-0.17523520062659473,0.13892770226472875,1.0292138719717954,0.21395088066614268,-0.29037122190325226,0.15453651796537937,0.5168147030892128,0.09119821827244717,1.0,0.0,,,,,,
reg,1.0,True,0.011660441203226781,,0.913559573305575,,-0.16527121209733742,,0.4853517877739331,,1.0,,,,,,,
