loss,status,keep_last_percent,navg,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf
0.28255,ok,85.0,240.0,450.0,25.0,sqrt,36.0,13.0
0.28154999999999997,ok,75.0,220.0,300.0,15.0,0.5,14.0,10.0
0.27795000000000003,ok,30.0,280.0,250.0,30.0,sqrt,34.0,15.0
0.27465,ok,60.0,100.0,250.0,10.0,log2,46.0,11.0
1000000.0,ok,40.0,300.0,350.0,15.0,,18.0,4.0
0.28065,ok,60.0,180.0,150.0,15.0,0.5,38.0,4.0
0.2703,ok,30.0,160.0,150.0,25.0,log2,12.0,6.0
1000000.0,ok,20.0,340.0,50.0,25.0,0.5,22.0,13.0
0.2841,ok,15.0,200.0,100.0,20.0,sqrt,10.0,7.0
0.2728,ok,55.0,300.0,300.0,,sqrt,24.0,20.0
0.27355,ok,55.0,360.0,300.0,30.0,auto,44.0,9.0
0.27599999999999997,ok,65.0,140.0,150.0,15.0,sqrt,28.0,4.0
0.2748,ok,20.0,120.0,250.0,20.0,auto,12.0,17.0
0.2803,ok,20.0,300.0,150.0,25.0,log2,8.0,16.0
1000000.0,ok,85.0,60.0,400.0,20.0,,2.0,3.0
1000000.0,ok,80.0,100.0,50.0,10.0,,50.0,12.0
1000000.0,ok,25.0,260.0,500.0,30.0,,26.0,12.0
0.27125,ok,85.0,260.0,450.0,15.0,log2,10.0,2.0
0.28825,ok,50.0,140.0,400.0,10.0,0.5,36.0,17.0
0.27954999999999997,ok,95.0,160.0,300.0,,sqrt,22.0,18.0
0.27554999999999996,ok,40.0,380.0,200.0,,log2,4.0,20.0
0.28719999999999996,ok,45.0,20.0,200.0,,log2,30.0,8.0
1000000.0,ok,5.0,340.0,350.0,,log2,16.0,5.0
0.2736,ok,35.0,400.0,200.0,25.0,auto,22.0,6.0
0.27390000000000003,ok,70.0,60.0,100.0,,sqrt,6.0,1.0
1000000.0,ok,5.0,200.0,450.0,25.0,log2,18.0,1.0
0.27344999999999997,ok,90.0,240.0,500.0,15.0,log2,2.0,1.0
0.2644,ok,95.0,180.0,100.0,25.0,log2,10.0,2.0
0.28265,ok,100.0,240.0,450.0,15.0,log2,6.0,6.0
0.28654999999999997,ok,10.0,20.0,450.0,25.0,log2,14.0,8.0
0.27275,ok,75.0,260.0,350.0,15.0,log2,18.0,3.0
0.2821,ok,35.0,60.0,100.0,25.0,auto,12.0,6.0
