colname,mean,std
Delta_Entropy,-22.02010526017133,0.7900562774636087
EEL,-1897.5694893816628,8.893253667463362
EGB,1849.3995195255866,8.082749040593901
ESURF,-31.864962025586355,1.089981303925952
HB Energy,-8.12282259864165,5.479892177290209
Hydrophobic Energy,-138.65696022430532,7.637840591030769
Pi-Pi Energy,-3.04503110516119,0.7537570124560031
VDWAALS,-205.5755310021322,10.054924565860551
