colname,mean,std
Delta_Entropy,-22.004410648179814,0.8713717910834302
EEL,-1897.9785612103176,8.875638921011417
EGB,1849.7914443700397,8.101536289797545
ESURF,-31.858445659722218,1.1586377454460812
HB Energy,-7.734831861545625,5.434795871816896
Hydrophobic Energy,-138.6335963806552,7.91030576126729
Pi-Pi Energy,-3.0136625846470673,0.721147369664343
VDWAALS,-205.50703545386907,10.464806521286745
