colname,mean,std
Delta_Entropy,-21.967457513969748,0.8933066828004054
EEL,-1897.6150779839409,8.909351326908078
EGB,1849.4500190863716,8.139898150118155
ESURF,-31.806889322916668,1.184409959766892
HB Energy,-7.7216429650560805,5.414755368876944
Hydrophobic Energy,-138.2177845304599,8.130538056549035
Pi-Pi Energy,-3.0237302663831804,0.7578985439725195
VDWAALS,-205.0823318576389,10.743615073568144
